accelX,accelY,accelZ,gyroX,gyroY,gyroZ
0.229, 0.028, 1.23, 29.679, -27.473, -14.725
-0.032, -0.218, 0.157, 250.13, 41.573, -29.618
0.031, -0.727, 0.656, 250.13, 72.16, -15.344
-0.253, 0.053, 1.522, 250.13, 66.885, 30.641
0.323, -0.333, 1.644, 0.382, -74.756, 26.641
0.15, 0.244, 1.435, -237.115, -73.649, -15.191
0.551, -0.134, 1.631, 250.13, 213.885, -54.702
0.804, -0.711, 0.921, -106.336, -83.542, -166.122
0.107, 0.377, 0.482, -79.481, -91.573, 42.656
1.606, -0.398, 1.884, 250.13, 116.878, -82.656
0.091, -0.139, -0.325, 150.985, 57.969, 30.275
0.665, 0.164, 2.0, 146.176, 75.557, 108.053
0.964, 0.421, 1.484, 46.458, 250.13, 105.588
-0.316, 0.057, 0.388, 68.74, -56.397, -84.053
0.34, -0.718, 1.886, 237.153, 232.015, 56.817
0.778, -0.897, 0.756, 22.779, -65.122, -104.573
0.469, -0.372, 1.843, -250.137, -102.046, 62.863
-0.277, -0.053, 0.482, 250.13, 25.053, 42.145
-0.87, -0.561, 1.076, -250.137, -250.137, 63.229
-0.275, -0.278, 0.898, 250.13, 188.397, -98.519
0.299, 0.424, 2.0, 16.55, 135.198, -148.084
-1.563, 0.049, 0.989, -135.191, -4.977, -243.252
-1.494, -0.018, 0.988, -135.87, -22.588, -184.634
-0.361, 0.748, 0.89, -118.977, -122.427, 51.336
0.789, 0.034, 1.716, -5.099, -22.71, -166.015
-0.378, 0.155, 1.298, -250.137, -109.489, 132.84
-0.927, -0.809, 0.706, 250.13, -250.137, -94.45
-1.336, -0.277, 2.0, 17.603, 250.13, -67.252
-0.924, 0.563, 0.547, 79.885, -134.786, -70.183
0.381, -0.377, 2.0, -89.824, -250.137, -195.046
0.883, 0.212, 1.706, -30.069, -76.153, -183.893
-0.678, -0.62, 2.0, 250.13, -250.137, -85.985
0.393, -0.426, 0.996, 250.13, -177.137, -112.282
-0.191, -0.635, 2.0, 250.13, -212.45, -79.191
-0.154, 0.052, -0.237, 122.809, -75.176, 44.588
0.349, -0.641, 2.0, -250.137, -41.382, 98.595
1.256, -1.691, 2.0, -250.137, -19.618, -114.389
-0.358, -0.653, 1.403, -206.382, 250.13, 66.908
-1.377, -1.084, 0.183, 67.969, 25.786, -250.137
-0.445, -0.573, 2.0, -185.496, 244.336, 56.588
-0.27, 0.221, 2.0, 187.252, 105.71, 55.664
0.885, -0.537, 2.0, -250.137, -250.137, 50.649
-0.221, 0.244, 0.132, 109.802, 45.947, 79.84
0.076, -0.222, 0.684, -98.275, -113.725, -124.336
0.339, 0.006, 0.447, 250.13, 202.802, 112.282
0.164, 0.137, 0.297, 250.13, 96.679, 94.42
0.266, 0.802, 0.892, 250.13, -250.137, 82.588
1.067, -0.301, 0.561, -42.237, -4.076, 165.313
1.501, -0.584, 0.781, -102.0, 34.595, 207.198
1.689, -0.63, 0.796, -103.954, 51.26, 221.267
1.914, -0.816, 1.685, -118.87, -250.137, 149.412
0.448, 0.271, 0.727, -140.611, -250.137, -109.412
0.301, -0.266, 0.345, 149.26, 217.435, 99.435
1.401, -0.354, 1.925, 66.58, 250.13, -104.313
0.723, -0.137, 2.0, -78.931, -111.031, -67.794
-0.034, -0.323, 1.091, 250.13, 201.473, 74.435
-0.099, -0.233, 1.508, 250.13, 197.351, 73.84
-0.005, -0.151, 0.975, 250.13, 222.824, 57.595
1.078, 0.667, 0.644, 30.0, 55.611, 49.763
0.767, 0.186, 0.729, 120.962, 250.13, -181.672
0.837, 1.472, 2.0, 22.397, -193.496, 113.687
0.828, 0.003, 2.0, -138.237, -250.137, -52.916
0.152, 0.264, 0.976, -78.122, -130.046, 121.962
-0.524, -0.714, -0.835, 15.573, -152.542, -21.282
-0.244, -0.245, -0.164, 164.71, -32.496, -55.885
0.295, -0.029, 0.72, 208.527, 133.725, -104.916
0.409, -0.033, 0.103, -129.496, -221.076, 159.786
1.12, -0.137, 2.0, -184.13, -174.328, 143.244
0.841, -0.238, 1.041, -250.137, -138.275, 103.55
0.009, -0.683, 0.541, -119.588, -16.534, 250.13
0.486, -1.2, 1.973, -81.977, -250.137, -81.489
0.402, -0.15, 0.27, 153.168, 250.13, -48.794
0.757, -1.473, 2.0, 222.809, 250.13, 80.443
-0.598, -2.0, -0.378, -206.84, -119.947, 250.13
-0.779, -2.0, -0.824, -165.985, -145.733, 245.206
-0.502, -2.0, -1.278, -162.183, -107.389, 155.176
-0.57, -1.584, -1.77, -51.962, 21.168, 71.427
-0.029, -1.633, -1.264, -100.985, -48.298, 78.847
0.95, -0.396, 1.947, -142.069, -177.588, 110.527
-0.294, -0.783, -0.356, 250.13, -113.496, 99.779
-0.549, -1.553, -1.862, -250.137, 154.969, -135.282
-0.499, -1.455, -1.456, 250.13, -244.176, 96.382
-0.374, -0.956, 1.232, -250.137, -10.763, -102.061
-0.368, -1.676, 2.0, -250.137, -77.573, -188.626
-1.891, -1.627, 0.217, 129.069, -209.916, -250.137
-1.522, -1.314, 0.879, 29.046, -250.137, -250.137
0.019, -0.53, 0.759, 19.069, -250.137, -226.916
0.918, -0.183, 0.943, 118.908, -52.298, -65.374
1.06, -0.247, 0.988, 139.802, -35.267, -81.908
1.483, -0.386, 1.254, -4.901, 27.252, 53.756
0.422, -0.869, 0.632, -107.153, 147.763, 250.13
-1.789, -1.962, -0.343, -250.137, 165.061, 250.13
-0.907, -1.581, 2.0, 250.13, -212.359, 117.473
-1.861, -1.112, -0.578, 67.45, -64.145, -118.305
-1.434, -1.167, 1.811, -198.634, -250.137, -187.321
-0.583, -1.106, 2.0, -245.145, -130.076, -176.321
-2.0, -0.644, -1.32, 26.924, 110.321, 59.542
-2.0, -0.784, 1.285, -60.908, -123.992, -134.305
-1.737, -1.461, -0.51, 73.237, -153.229, -190.573
-1.519, -1.742, -1.296, 250.13, -92.168, -118.718
-1.775, -2.0, -0.773, 250.13, -75.55, -233.397
-1.362, -1.502, -1.162, 63.527, -122.107, -71.992
-0.189, -0.691, -0.623, -250.137, 42.031, -50.16
0.074, -0.167, 0.891, -208.649, 109.824, 250.13
0.574, -1.259, 1.701, -250.137, 42.366, 231.824
-2.0, -0.916, 0.28, -178.153, 164.008, 180.336
-0.404, -1.433, 0.752, 138.023, -250.137, -250.137
-1.21, -1.563, 0.662, 44.42, -250.137, -250.137
-2.0, -2.0, 1.112, 10.305, -75.527, -250.137
0.392, 1.193, 2.0, -228.496, -33.771, -28.901
