accelX,accelY,accelZ,gyroX,gyroY,gyroZ
-0.013, 0.875, 0.632, 30.55, 39.389, 9.855
0.054, 0.928, 0.587, 37.321, 49.328, 8.962
0.075, 1.011, 0.34, 35.191, -5.885, -2.718
0.031, 0.902, 0.228, 3.237, 43.718, -1.756
0.195, 0.986, 0.195, 15.962, 11.626, -5.237
0.001, 0.942, 0.384, -57.359, 10.557, -16.412
0.025, 0.841, 0.7, -55.244, -35.481, -10.779
0.133, 0.932, 0.543, 66.595, -9.29, 19.947
0.289, 0.926, 0.289, 2.328, 65.191, 17.779
0.292, 0.906, 0.333, 1.969, 76.069, 12.824
-0.702, 0.092, -0.428, 42.527, 38.344, -11.878
-0.631, 0.07, -0.57, 15.977, 58.267, 18.015
0.415, 0.625, 0.815, -63.611, -11.427, -4.305
0.242, 0.332, 1.219, -61.557, 5.13, -13.237
0.212, 0.028, 1.516, 52.947, 29.427, -16.763
0.203, 0.219, 1.349, 81.771, -6.954, -16.183
0.195, 0.469, 1.172, 92.771, -10.069, -18.183
-0.202, 0.145, 1.359, -34.664, 3.794, -21.084
-0.227, 0.047, 1.402, -14.168, -3.481, -0.076
-0.193, 0.015, 1.41, -2.611, 6.244, 0.076
0.065, 0.416, 1.28, 116.427, -37.565, 2.305
0.137, 0.676, 0.802, 92.137, -34.656, 0.351
-0.218, 0.845, 0.755, 16.405, 2.397, 13.092
0.086, 0.958, 0.43, -75.87, 28.58, -9.832
-0.202, 0.236, 1.241, -54.061, -12.282, -16.473
-0.223, 0.186, 1.234, -58.397, 6.977, -13.443
-0.2, -0.003, 1.408, -30.153, 8.412, -2.046
0.032, 0.827, 0.597, -4.237, 14.328, -11.931
0.534, 0.884, 0.089, 61.962, 44.962, 6.076
0.468, 0.761, 0.042, 54.244, 56.252, 4.809
0.475, 0.782, 0.009, 53.405, 65.351, 8.504
0.725, 0.756, -0.106, 17.107, 61.557, 16.206
0.805, 0.788, 0.04, -4.023, 15.534, -0.305
0.829, 0.813, 0.056, 2.511, 9.344, 1.794
-0.88, 0.017, -0.205, 25.053, -2.748, -6.267
-0.972, 0.033, -0.23, 6.802, -39.504, 20.153
0.326, 0.788, 0.712, 76.901, 26.885, -22.069
0.262, 0.738, 0.685, 63.595, 39.359, -17.672
0.144, 0.81, 0.485, 47.985, 87.901, -18.244
0.109, 0.837, 0.458, 45.809, 62.611, -7.954
0.412, 0.473, 1.256, -6.809, -12.282, 0.183
0.527, 0.581, 1.331, 16.542, 2.435, -7.595
0.517, 0.586, 1.346, 39.031, 0.366, -11.298
0.032, 0.99, 0.18, -12.412, 5.802, -10.824
0.04, 0.837, 0.162, -17.397, -25.084, -23.427
-0.044, 0.252, 1.433, -30.328, -8.023, -8.458
0.044, 0.044, 1.578, -29.771, 4.198, 0.389
0.063, -0.028, 1.642, -5.748, 20.55, 3.817
0.002, 0.026, 1.68, 33.565, 1.427, -8.763
0.305, 0.871, 0.031, 117.443, 24.008, -3.313
0.094, 0.607, -0.528, -24.275, 6.16, -5.328
0.121, 0.712, -0.428, -50.351, -1.947, 14.008
0.083, 0.83, -0.22, -79.595, -0.595, -18.321
0.086, 0.927, -0.212, -99.664, 1.183, -10.664
0.093, 0.712, 0.719, 137.298, 3.069, 3.504
0.108, 0.711, 0.663, 111.702, 18.198, -0.595
0.088, 0.732, 0.622, 96.809, 36.344, -11.931
0.021, 1.005, 0.374, 123.053, 23.557, -20.962
-0.173, 0.641, -0.431, -58.137, 21.481, -2.916
-0.19, 0.736, -0.361, -61.504, -9.405, 5.634
0.06, 0.751, 0.739, -19.489, -129.527, 1.176
0.102, 0.751, 0.88, -51.13, -67.603, -1.977
0.273, 0.75, 1.047, -54.924, -22.229, 11.038
0.251, 0.734, 1.115, -49.756, -17.107, 8.962
0.234, 0.802, 0.986, 65.641, 41.053, -18.718
0.106, 0.873, 0.63, -12.237, -30.832, 2.328
0.157, 0.798, 0.945, 67.55, 71.557, -13.443
0.31, 0.304, 1.287, -10.664, 48.481, -9.427
0.107, 0.339, 1.415, -44.046, 14.985, 6.985
-0.008, 0.757, 0.329, -136.031, 66.107, -21.824
-0.031, 0.774, 0.468, -133.511, 51.458, -35.71
-0.337, 0.351, 1.266, -54.863, -37.008, -17.679
-0.012, 0.182, 1.66, -22.687, -32.328, -6.901
-0.051, 0.465, 1.198, 89.107, 60.137, -2.298
-0.185, 0.537, 0.837, 81.863, 70.962, -7.496
-1.005, -0.121, -0.092, 70.29, 13.557, -29.0
-1.109, -0.077, -0.085, -10.053, -35.092, 21.847
-0.404, 0.156, 1.426, -41.489, -18.069, -10.084
-0.445, 0.044, 1.465, 22.244, 16.267, 6.344
-0.443, 0.053, 1.512, 30.206, 20.275, 1.183
-0.476, 0.066, 1.551, 56.588, 5.672, 14.603
0.168, 0.654, 0.492, 120.977, 67.893, 21.809
0.122, 0.655, 1.151, 20.122, -39.053, 19.366
0.344, 0.701, 1.0, 5.313, 24.481, 10.908
0.245, 0.619, 1.111, 22.053, 9.992, -12.336
0.039, 0.722, 1.01, -0.405, 36.366, -19.603
-0.425, 0.198, 1.216, 13.802, -1.687, 6.687
-0.373, 0.231, 1.174, 10.328, -8.076, 9.534
-0.495, 0.212, 1.164, 3.313, 9.519, 3.183
-0.438, 0.164, 1.169, 11.008, 8.595, 3.191
-0.415, 0.164, 1.141, 6.84, 10.466, 6.679
-0.396, 0.237, 1.226, 15.702, 4.099, -7.26
-0.392, 0.226, 1.197, 17.87, 7.969, -5.626
-0.387, 0.238, 1.203, 18.13, -1.053, -7.924
-0.406, 0.249, 1.191, 19.595, 1.527, -8.71
-0.389, 0.186, 1.16, 19.756, -2.748, -4.237
-0.388, 0.223, 1.264, 17.817, -3.229, 2.962
-0.409, 0.229, 1.157, 13.725, 5.336, -14.344
-0.4, 0.137, 1.186, -3.023, 17.649, 0.611
-0.469, 0.164, 1.225, -7.29, 18.351, 4.687
-0.346, 0.142, 1.215, 6.031, 5.969, 2.809
-0.414, 0.117, 1.173, -1.191, 21.229, -10.107
-0.514, 0.129, 1.164, 7.763, -2.489, -2.489
-0.56, 0.047, 1.103, 12.328, 3.527, 6.076
-0.445, 0.108, 1.191, 3.786, 2.176, 6.0
-0.191, 0.301, 1.292, 5.076, 12.069, 6.092
-0.155, 0.247, 1.25, 10.55, 1.695, 6.29
-0.188, 0.225, 1.26, 10.275, 9.985, 1.924
-0.19, 0.261, 1.294, 7.267, 8.664, -1.298
-0.229, 0.239, 1.266, 8.244, 19.58, -5.763
-0.275, 0.204, 1.248, 5.229, 20.603, -5.16
-0.321, 0.211, 1.309, 9.038, 6.511, -4.26
-0.299, 0.241, 1.243, 9.511, 4.687, -0.252
-0.239, 0.246, 1.235, 10.16, 6.511, 0.115
-0.237, 0.249, 1.234, 6.198, 14.015, -0.244
-0.256, 0.231, 1.221, 12.924, -22.924, 5.313
-0.213, 0.252, 1.278, 6.092, 6.122, -0.947
-0.348, 0.231, 1.225, 10.573, 3.336, 3.519
-0.304, 0.249, 1.244, 11.634, -5.168, 6.931
-0.434, 0.2, 1.189, 11.786, 1.824, -1.74
-0.333, 0.248, 1.208, 14.076, -7.244, 5.786
-0.286, 0.224, 1.232, 9.649, 6.061, 2.962
-0.269, 0.234, 1.24, 9.763, 5.725, 0.779
-0.294, 0.185, 1.186, 4.183, 8.214, -0.458
-0.271, 0.224, 1.255, 11.511, 14.183, -0.13
-0.307, 0.191, 1.24, 6.099, 10.008, -4.099
-0.298, 0.231, 1.232, 11.191, 1.374, -0.55
-0.286, 0.185, 1.262, 5.229, 6.427, 0.878
-0.189, 0.045, 1.307, 10.84, 8.672, -1.771
-0.199, 0.012, 1.285, 9.229, 12.557, -2.298
-0.183, 0.15, 1.282, -2.893, 20.893, -13.664
-0.193, 0.082, 1.257, 5.183, 9.29, -4.679
-0.191, 0.335, 1.22, 10.099, 10.42, 0.687
-0.184, 0.344, 1.229, 12.969, 2.489, -2.802
-0.121, 0.723, 0.991, 21.58, -0.206, 1.405
-0.031, 0.921, 0.768, 6.267, 13.244, -1.87
-0.034, 0.865, 0.69, -5.71, -27.893, -9.58
0.062, 0.861, 0.76, -2.748, -37.389, -1.733
-0.009, 0.97, 0.557, 13.863, 2.649, -10.443
-0.057, 0.967, 0.586, -0.031, 17.771, -1.008
0.126, 0.95, 0.502, 13.198, -9.847, -7.359
0.056, 0.928, 0.673, 4.252, 21.969, -0.527
-0.265, 0.932, 0.269, 25.046, 10.168, -8.443
-0.303, 0.933, 0.181, 8.901, 25.305, 1.863
0.041, 0.921, 0.656, 19.618, 33.305, -5.885
0.053, 0.952, 0.527, 11.137, 28.214, 2.458
0.009, 0.969, 0.626, 0.527, 32.443, 11.58
0.05, 0.941, 0.676, 2.496, 43.534, -4.107
-0.21, 0.899, 0.601, -6.763, 7.595, -4.771
-0.343, 0.894, 0.643, 19.0, -18.412, 14.718
-0.284, 0.888, 0.62, 15.29, -13.328, 13.588
0.25, 0.924, 0.593, 13.565, -7.802, -3.634
0.212, 0.939, 0.526, 17.702, 1.496, -4.763
-0.063, 0.877, 0.737, 8.962, 26.489, -10.832
-0.134, 0.864, 0.769, -0.122, 33.611, -14.038
0.156, 0.958, 0.491, -5.374, 14.672, -1.076
0.097, 0.965, 0.609, -2.237, 19.244, -2.351
0.055, 0.959, 0.629, 3.595, 15.611, -4.87
-0.136, 0.963, 0.339, 7.771, 10.649, -16.153
0.129, 0.949, 0.572, 13.328, 2.344, -4.977
-0.027, 0.953, 0.457, -14.557, 36.221, -9.015
-0.048, 0.979, 0.51, 4.916, 33.511, 1.695
-0.141, 0.824, 0.808, -8.206, -1.16, 9.863
-0.111, 0.78, 0.911, -4.718, 17.198, 7.74
-0.097, 0.955, 0.714, 29.557, 0.344, 3.84
