accelX,accelY,accelZ,gyroX,gyroY,gyroZ
0.082, 0.937, 0.425, 22.672, -5.756, -2.313
0.04, 0.965, 0.448, 1.954, 18.748, 3.221
0.033, 1.009, 0.53, 3.656, 49.641, 3.046
0.013, 0.996, 0.561, 11.191, 55.824, 5.557
0.074, 1.008, 0.516, 25.29, 21.489, 0.42
0.053, 0.973, 0.429, -19.298, 49.756, 15.076
0.011, 0.994, 0.454, -25.977, 45.504, 28.099
0.175, 0.99, 0.458, -5.244, 43.191, 0.901
0.096, 0.979, 0.517, -18.931, 55.351, -9.649
0.033, 0.958, 0.485, -26.237, 70.756, -2.672
0.0, 0.919, 0.634, 6.397, 51.443, -0.672
-0.069, 0.914, 0.624, 18.275, 41.756, 9.191
-0.065, 0.948, 0.55, 9.0, 18.679, 3.206
-0.121, 0.966, 0.575, 5.916, 36.397, -12.84
-0.102, 0.823, 0.732, -14.466, 37.817, 1.855
-0.16, 0.826, 0.785, -2.969, 34.206, 4.221
-0.179, 0.849, 0.773, 8.313, 27.718, 13.374
-0.223, 0.875, 0.663, 13.16, 22.26, 15.969
-0.217, 0.889, 0.696, 20.26, 24.519, 13.534
0.277, 0.892, 0.505, 16.511, 19.664, 14.336
0.162, 0.989, 0.522, -4.885, 58.061, -18.076
0.145, 0.962, 0.482, 12.656, -93.443, -25.924
0.163, 1.087, 0.595, 2.58, -65.397, -4.656
0.256, 0.938, 0.684, 15.305, -100.924, -37.496
0.116, 0.969, 0.47, 9.053, -42.13, -17.519
0.081, 0.958, 0.408, 16.168, -45.069, -2.336
0.229, 0.904, 0.491, 16.389, -117.534, -31.244
0.158, 1.018, 0.513, 12.58, -123.687, -28.718
0.299, 1.104, 0.659, -2.84, -86.336, 3.107
0.128, 0.847, 0.824, -20.992, -41.282, -6.015
0.127, 0.983, 0.62, 10.847, -42.458, -0.046
0.281, 0.713, 0.698, -1.832, -67.725, -54.13
0.497, 0.904, 0.594, 6.282, -125.855, -48.985
0.121, 0.891, 0.636, 23.656, -125.237, -22.336
0.088, 0.906, 0.664, 3.534, -55.71, -38.061
